"Gene.Name","EV-R1","EV-R2","EV-R3","KO-R1","KO-R2","KO-R3"
"ZNF143",2,2,4,3,3,1
"WEE1",1,0,1,0,2,2
"WEE1",2,2,1,6,1,5
"WEE1",16,17,17,15,22,14
"FAM76B",7,10,6,6,7,3
"MTMR2",37,37,28,16,20,22
"WEE1",5,2,4,2,4,3
"UHRF1BP1L",9,6,4,10,12,10
"ACTR6",3,1,3,2,3,5
"SCYL2",33,44,38,59,52,38
"NR1H4",0,0,0,0,0,0
"NR1H4",6,2,4,13,15,15
"ARL1",0,0,1,0,2,1
"MYBPC1",0,2,0,0,0,0
"CHPT1",14,7,8,13,15,17
"DRAM1",4,3,4,1,2,1
"PARPBP",6,7,16,13,12,13
"IGF1",6,4,7,1,3,8
"IGF1",3,3,5,5,4,9
"LINC00485",1,1,0,0,3,0
"PAH",26,23,21,53,25,43
"PAH",18,23,13,19,19,18
"PAH",0,0,0,1,0,1
"LOC101929058",0,0,0,2,0,2
"TTC41P",1,0,0,1,0,1
"C12orf73",7,7,12,4,5,3
"TDG",68,82,92,80,68,59
"HCFC2",26,13,15,11,15,12
"NFYB",5,9,7,3,5,3
"TXNRD1",1,0,0,3,1,0
"TXNRD1",2,0,0,1,2,1
"TXNRD1",34,47,30,27,35,32
"WASHC4",24,21,27,26,30,26
"KCCAT198",0,1,1,1,1,0
"CASC18",1,0,1,1,0,0
"CASC18",0,1,2,0,0,0
"NUAK1",0,0,2,2,4,1
"NUAK1",13,10,7,6,6,2
"NUAK1",35,18,13,11,10,6
"MAGOHB",52,47,44,51,65,38
"NUAK1",6,2,7,7,7,5
"CKAP4",25,3,7,6,14,10
"CKAP4",3,2,2,1,1,2
"TCP11L2",0,1,4,2,1,0
"POLR3B",44,33,26,43,57,35
"POLR3B",6,5,3,5,7,3
"RFX4",0,0,0,0,0,0
"RIC8B",3,7,5,1,3,7
"MTERF2",10,12,9,10,10,7
"YBX3",57,41,38,54,70,64
"PWP1",56,51,41,41,50,44
"PRDM4",2,8,6,3,4,3
"ASCL4",24,12,15,12,13,6
"FICD",2,1,0,3,0,1
"CORO1C",8,9,10,7,13,17
"MIR619",3,4,4,1,2,2
"SSH1",4,10,6,6,7,5
"TAS2R13",24,15,16,18,15,19
"USP30",10,6,13,14,11,5
"ACACB",0,0,0,2,2,0
"KCTD10",5,6,7,6,11,7
"MMAB",0,4,3,2,0,1
"GIT2",25,22,20,31,21,20
"ANKRD13A",6,4,3,4,4,6
"C12orf76",237,239,218,231,198,163
"C12orf76",2,1,0,0,0,1
"IFT81",20,19,14,12,7,4
"ATP2A2",1,0,7,3,4,2
"ATP2A2",4,2,0,1,2,1
"ATP2A2",39,15,23,32,44,41
"ANAPC7",45,38,20,44,38,25
"ARPC3",56,50,49,55,74,63
"FAM216A",5,3,1,4,6,2
"VPS29",23,16,19,16,23,14
"PPTC7",2,1,0,0,1,0
"PPP1CC",76,51,68,80,68,69
"CUX2",5,1,1,0,0,0
"SH2B3",1,2,2,0,0,2
"ATXN2",0,3,2,3,0,2
"BRAP",22,13,27,10,23,11
"ALDH2",64,41,45,55,64,73
"ALDH2",6,3,0,2,2,7
"MAPKAPK5-AS1",36,12,16,19,24,13
"ERP29",123,115,117,73,130,117
"NAA25",10,12,15,19,6,11
"HECTD4",6,3,4,8,4,0
"RPL6",243,222,234,240,265,216
"PTPN11",6,11,7,6,9,10
"DDX54",52,42,57,66,56,52
"TBX3",0,0,0,1,1,1
"MIR620",0,0,0,0,1,0
"MIR620",0,0,3,0,1,0
"MED13L",4,3,4,4,2,4
"ETV6",3,2,3,2,4,1
"C12orf49",0,3,2,3,10,8
"HRK",3,2,3,1,3,2
"FBXW8",17,12,9,13,14,15
"TESC",5,2,7,0,1,0
"TESC",6,3,2,1,1,1
"FBXO21",115,82,88,80,75,67
"RFC5",60,24,28,29,37,34
"WSB2",11,7,6,10,6,5
"WSB2",16,5,3,0,3,3
"PEBP1",609,577,507,537,590,482
"SUDS3",2,3,1,0,0,3
"BCL2L14",24,14,11,7,8,9
"PRKAB1",12,11,14,9,12,9
"RAB35",11,7,3,2,11,8
"GCN1",5,11,8,5,11,11
"RPLP0",32,17,18,11,22,12
"PXN",0,6,6,5,3,4
"PXN",16,14,15,15,12,6
"PLA2G1B",7,3,3,3,4,4
"MSI1",19,11,10,8,9,7
"GATC",117,107,116,120,137,118
"SRSF9",78,49,59,42,59,65
"COQ5",39,47,41,18,34,43
"RNF10",79,46,46,45,61,43
"MLEC",0,1,0,0,1,0
"UNC119B",32,23,25,22,32,25
"SPPL3",8,2,4,0,2,1
"HNF1A",106,66,72,72,46,59
"C12orf43",0,1,2,1,2,2
"CAMKK2",4,1,4,1,2,0
"ANAPC5",173,182,151,160,210,149
"RNF34",26,23,18,21,32,24
"KDM2B",4,2,4,7,3,8
"KDM2B",20,9,11,20,13,13
"ORAI1",32,23,18,25,18,23
"ORAI1",3,13,3,2,4,1
"HPD",0,1,1,1,1,0
"PSMD9",76,68,41,66,57,40
"WDR66",0,2,0,0,0,0
"BCL7A",4,7,10,10,10,14
"CLIP1-AS1",13,9,8,15,14,10
"CLIP1-AS1",10,7,10,15,23,23
"CLIP1",3,2,2,2,2,4
"ZCCHC8",22,17,23,26,22,25
"RSRC2",78,78,81,69,73,49
"LRP6",13,5,9,4,6,12
"DENR",17,9,10,14,14,12
"OGFOD2",22,18,21,10,14,17
"ARL6IP4",45,25,21,28,27,18
"MPHOSPH9",5,7,6,8,13,4
"CDK2AP1",1,0,2,0,1,0
"CDK2AP1",112,85,96,100,82,89
"SBNO1-AS1",6,9,14,8,7,7
"SNRNP35",10,10,10,5,7,4
"RILPL1",5,5,8,4,1,1
"BORCS5",7,8,12,5,16,9
"TMED2-DT",6,11,7,9,9,9
"DDX55",14,15,15,15,11,13
"GTF2H3",17,14,19,14,16,18
"CCDC92",1,0,1,1,1,1
"BORCS5",2,2,1,1,5,2
"ZNF664-RFLNA",15,13,17,22,13,31
"ZNF664-RFLNA",1,4,1,5,0,5
"ZNF664-RFLNA",3,0,0,1,0,0
"RFLNA",0,1,0,1,1,0
"NCOR2",5,1,1,2,3,2
"SCARB1",2,0,2,2,1,1
"SCARB1",41,22,38,28,48,54
"UBC",5,1,4,9,5,2
"MIR5188",0,1,1,0,0,0
"DUSP16",7,5,3,6,10,6
"DUSP16",2,4,1,2,3,2
"CREBL2",9,5,1,2,5,2
"LINC02350",0,0,0,0,0,0
"CDKN1B",10,7,4,3,6,3
"APOLD1",7,10,3,4,2,3
"SLC15A4",9,7,2,3,6,7
"GLT1D1",3,2,0,0,1,1
"ADGRD1-AS1",1,0,3,1,0,0
"SFSWAP",0,0,1,0,0,0
"MMP17",0,0,1,0,0,0
"EP400",2,4,6,4,5,5
"FBRSL1",2,0,4,5,3,5
"MIR6763",4,7,4,5,3,2
"POLE",18,17,16,17,37,16
"PGAM5",5,6,3,7,3,1
"ANKLE2",0,0,1,1,0,0
"GOLGA3",4,9,2,3,2,9
"CHFR",1,2,0,1,1,0
"ZNF605",2,3,5,1,1,6
"ZNF84",10,5,3,2,7,5
"ZNF140",2,6,4,1,2,0
"ZNF891",7,3,2,1,4,0
"ATF7IP",13,12,16,14,9,12
"HIST4H4",982,783,857,514,615,480
"H2AFJ",131,144,121,131,173,120
"ART4",3,6,1,9,11,3
"PTPRO",5,5,14,4,6,6
"EPS8",22,22,23,15,13,23
"EPS8",11,2,7,4,11,12
"EPS8",0,1,0,0,1,0
"STRAP",62,66,55,50,63,59
"DERA",16,9,12,21,25,12
"FBXL14",10,7,7,4,7,7
"LMO3",1,2,6,4,5,7
"ADIPOR2",3,3,6,2,4,4
"ADIPOR2",7,7,6,5,1,8
"LRTM2",8,9,11,14,5,13
"PLEKHA5",0,0,0,0,0,0
"PLEKHA5",91,58,57,62,59,43
"AEBP2",13,7,13,10,11,12
"DCP1B",5,4,2,4,2,1
"LINC02398",0,1,0,0,0,0
"LINC02398",0,0,0,3,0,3
"DCP1B",12,7,6,6,7,6
"DCP1B",0,0,0,0,0,0
"PDE3A",5,3,3,12,16,7
"SLCO1B3",0,0,0,0,0,0
"SLC6A12",0,2,2,1,1,1
"PYROXD1",16,7,8,11,13,19
"GOLT1B",39,35,46,33,50,30
"CMAS",80,71,52,50,73,59
"C2CD5",22,22,24,33,27,15
"ETNK1",56,54,49,50,70,62
"SOX5",7,10,7,4,4,3
"ETFRF1",13,10,10,13,20,16
"KRAS",5,4,0,5,10,8
"KRAS",0,0,0,2,3,1
"KRAS",1,1,1,1,0,3
"LMNTD1",1,0,0,1,1,2
"RASSF8",3,4,10,3,7,4
"BHLHE41",9,9,11,12,22,12
"SSPN",9,7,6,13,12,6
"SSPN",1,0,0,0,0,0
"SSPN",1,2,1,1,0,0
"SSPN",1,1,2,2,3,2
"ITPR2",6,6,12,23,18,15
"ITPR2",3,4,5,8,4,5
"ITPR2",5,7,11,16,20,12
"FGFR1OP2",28,19,32,27,18,9
"ARNTL2",27,11,19,13,11,15
"PPFIBP1",10,5,3,4,5,8
"REP15",10,6,9,21,12,4
"MRPS35",156,136,164,153,141,121
"KLHL42",46,32,23,20,17,18
"PTHLH",1,0,0,0,0,0
"FKBP4",256,177,189,206,228,203
"PTHLH",31,37,31,26,27,27
"ITFG2",51,45,49,25,33,47
"CCDC91",1,2,2,0,1,0
"CCDC91",25,37,36,26,21,25
"TEX52",10,10,7,9,8,12
"RHNO1",12,6,12,9,7,10
"TULP3",19,7,14,11,4,16
"ERGIC2",12,11,9,8,5,5
"TEAD4",11,5,8,4,2,4
"IPO8",0,0,0,0,0,0
"IPO8",2,2,1,4,2,1
"IPO8",3,4,3,3,4,5
"CAPRIN2",2,1,2,5,2,1
"FLJ13224",19,2,12,16,11,11
"DENND5B-AS1",9,13,8,4,4,6
"AMN1",7,6,1,4,2,6
"AMN1",0,1,1,0,0,0
"H3F3C",0,0,0,0,1,1
"RESF1",17,14,17,27,23,15
"FGD4",12,2,4,4,3,2
"FGD4",6,2,4,11,4,10
"FGD4",23,20,20,22,19,15
"DNM1L",44,53,40,37,60,38
"YARS2",55,58,52,47,52,48
"PKP2",0,1,1,0,0,2
"ALG10",0,0,0,0,0,0
"ALG10B",0,3,0,0,0,1
"CCDC77",45,29,30,22,39,31
"KIF21A",21,25,10,11,13,13
"SLC2A13",9,2,8,4,5,3
"CCDC77",5,8,5,8,4,3
"CNTN1",0,0,2,2,0,0
"GXYLT1",2,4,3,4,3,5
"YAF2",26,31,20,24,30,26
"TIGAR",8,6,6,7,11,8
"TWF1",5,6,2,4,3,3
"TMEM117",10,2,7,5,8,2
"ANO6",116,86,73,97,91,70
"ANO6",7,2,9,7,6,4
"RAD51AP1",12,13,8,24,11,8
"SCAF11",36,32,27,26,32,36
"SLC38A1",92,76,93,65,66,79
"SLC38A2",494,501,416,242,292,264
"LOC100288798",4,4,6,10,4,6
"LOC100288798",8,7,10,11,12,15
"NDUFA9",37,28,30,21,28,19
"LOC100288798",9,2,2,9,11,13
"LOC100288798",3,4,4,1,7,2
"PCED1B-AS1",6,4,4,3,2,3
"HDAC7",12,6,1,5,7,0
"SENP1",41,21,30,18,14,17
"KANSL2",1,1,0,1,3,2
"ADCY6-DT",1,1,0,0,0,0
"DDX23",10,8,11,3,11,7
"RND1",2,0,1,0,0,0
"PRKAG1",22,17,13,14,13,9
"KMT2D",23,35,25,29,22,21
"TUBA1B",65,46,47,27,35,32
"TUBA1C",158,184,149,141,167,125
"DNAJC22",67,63,65,54,54,57
"SPATS2",3,0,6,1,4,6
"KCNH3",10,8,15,8,7,12
"MCRS1",34,26,18,27,30,26
"TMBIM6",30,21,24,27,39,36
"BCDIN3D",10,12,12,8,9,13
"SMARCD1",8,2,5,6,4,2
"LIMA1",4,3,4,1,3,3
"FAM186A",0,0,0,0,0,0
"LARP4",28,24,22,18,18,28
"DIP2B",132,58,74,103,85,63
"DIP2B",6,1,4,8,9,6
"DIP2B",9,5,14,15,5,11
"DIP2B",11,8,9,10,4,8
"ATF1",14,10,13,8,15,13
"METTL7A",2,2,0,3,1,3
"SLC11A2",1,2,4,3,4,1
"LETMD1",4,1,6,5,4,7
"POU6F1",5,1,5,3,0,1
"DAZAP2",10,12,12,4,8,7
"SMAGP",5,2,5,10,6,2
"ACVR1B",16,12,7,8,4,9
"ACVR1B",3,4,8,10,7,6
"ATG101",1,0,1,0,0,1
"KRT7-AS",3,3,1,0,1,0
"KRT8",2,2,6,2,2,1
"LOC283335",42,36,46,31,22,25
"CSAD",6,3,7,5,8,5
"AAAS",103,83,83,69,81,65
"AAAS",4,3,7,1,2,2
"SP1",1,3,2,2,0,1
"SP1",0,0,0,0,0,0
"PRR13",2,9,7,7,8,6
"PCBP2",13,9,8,10,12,11
"TARBP2",17,14,9,13,22,11
"ATP5MC2",11,0,7,9,5,9
"ATP5MC2",4,2,7,3,10,10
"CISTR",0,0,0,0,0,0
"LINC02381",1,0,0,0,0,1
"CBX5",21,39,34,32,34,32
"HNRNPA1",13,10,10,9,12,11
"LOC102724050",2,0,2,0,1,0
"ITGA5",81,45,70,97,141,98
"BLOC1S1",18,11,11,9,7,13
"CD63",30,33,27,23,37,39
"SARNP",11,5,13,4,8,12
"DNAJC14",10,13,14,5,12,9
"PYM1",24,14,17,13,14,12
"RAB5B",2,0,2,1,0,0
"RPS26",46,26,40,30,35,23
"ERBB3",20,12,15,15,11,15
"PA2G4",51,35,39,54,45,55
"RPL41",15,20,19,20,21,27
"MYL6B",3,6,8,5,7,3
"SMARCC2",1,2,1,0,0,2
"RNF41",3,5,6,5,4,8
"SLC39A5",9,2,4,6,8,5
"ANKRD52",4,3,2,5,0,4
"CS",71,61,61,56,65,54
"CNPY2",4,1,1,6,5,3
"PAN2",4,1,11,3,3,4
"TIMELESS",41,29,36,28,25,17
"SPRYD4",13,5,9,10,10,15
"BAZ2A",11,15,10,12,9,13
"ATP5F1B",109,112,125,121,157,128
"PTGES3",23,28,36,28,17,23
"PTGES3",430,435,346,288,358,352
"NACA",57,55,51,86,75,71
"PRIM1",44,35,26,31,39,41
"LOC105369595",3,6,2,3,1,2
"NEMP1",18,14,17,20,10,6
"NAB2",1,1,1,1,0,3
"LRP1-AS",3,3,6,0,1,2
"SHMT2",43,25,36,29,44,28
"STAC3",45,32,35,29,29,20
"R3HDM2",14,5,13,15,10,11
"R3HDM2",2,5,2,4,4,5
"INHBE",11,9,6,22,8,12
"INHBE",12,8,7,11,6,8
"GLI1",9,13,12,9,10,5
"MARS",125,118,125,96,115,89
"DDIT3",22,14,15,24,16,34
"MBD6",5,2,5,4,0,2
"LOC105369595",2,0,1,0,0,1
"TSPAN31",18,19,24,17,30,13
"CDK4",115,108,108,135,136,122
"LOC105369595",14,16,10,4,9,6
"LOC105369595",3,1,2,2,0,4
"LOC105369595",0,1,1,1,2,0
"LOC105369595",0,0,0,0,0,0
"LINC02388",1,1,1,2,1,0
"LRIG3",69,45,57,50,56,55
"SLC16A7",10,20,6,6,6,7
"SLC16A7",29,18,18,20,22,21
"SLC16A7",5,4,7,8,6,8
"SLC16A7",21,13,24,31,19,27
"SLC16A7",21,11,20,27,20,22
"SLC16A7",0,0,1,0,0,0
"TAFA2",0,0,0,0,0,1
"USP15",9,8,10,13,11,10
"MON2",40,31,42,55,38,43
"LINC01465",30,17,21,13,27,18
"PPM1H",6,6,4,9,11,3
"LOC100049716",2,0,4,3,1,2
"AVPR1A",0,0,0,1,0,0
"TNFRSF1A",5,4,2,0,3,2
"TNFRSF1A",81,76,58,48,57,53
"LTBR",2,2,1,0,0,3
"RXYLT1",49,24,44,41,42,47
"LTBR",28,27,24,12,9,21
"SRGAP1",2,2,0,2,0,1
"NINJ2",5,12,8,5,12,7
"XPOT",3,3,2,6,6,4
"TBK1",3,2,3,8,1,1
"TAPBPL",8,5,4,2,2,2
"RASSF3",5,7,2,3,4,5
"MIR548Z",7,10,8,15,9,12
"MIR548Z",4,5,2,4,10,7
"NINJ2",5,8,9,11,10,9
"MIR548Z",7,6,3,16,8,10
"TBC1D30",22,14,15,32,38,25
"LEMD3",63,52,62,54,59,52
"MSRB3",1,2,0,5,4,4
"GAPDH",4,10,4,7,8,7
"NOP2",18,12,18,20,17,20
"HMGA2-AS1",9,10,23,17,18,14
"HMGA2-AS1",12,10,10,6,8,9
"HMGA2-AS1",7,7,10,13,12,10
"LINC02425",0,0,0,0,1,0
"LLPH-DT",9,9,8,10,11,11
"TMBIM4",128,113,98,113,99,107
"ZNF384",7,4,2,5,4,4
"COPS7A",10,13,6,13,3,6
"CAND1",5,3,3,0,4,4
"MLF2",2,2,3,1,3,3
"PTMS",173,145,129,138,130,129
"USP5",110,101,92,79,83,90
"RAP1B",34,22,30,24,35,34
"TPI1",743,769,706,747,837,776
"LOC100507250",3,1,2,4,4,5
"SPSB2",12,14,5,7,10,6
"LOC100130075",1,0,0,3,1,3
"MDM2",178,150,136,138,133,102
"LOC105369632",11,2,2,2,1,0
"CPSF6",1,0,0,0,2,0
"CPSF6",33,30,19,13,27,13
"ATN1",6,8,8,7,4,9
"LYZ",44,30,35,26,21,17
"YEATS4",85,75,86,74,54,53
"C12orf57",43,29,49,58,25,39
"FRS2",2,4,2,0,1,3
"FRS2",36,38,50,34,33,51
"CCT2",51,35,46,46,47,51
"PHB2",340,361,375,326,406,349
"RAB3IP",37,46,41,28,35,32
"EMG1",58,69,56,56,69,75
"LPCAT3",8,6,5,3,5,2
"CNOT2",21,25,17,12,21,22
"CNOT2",5,13,23,19,26,19
"C1S",4,2,0,12,16,7
"PTPRB",2,0,0,0,0,0
"C1RL-AS1",62,57,81,44,46,27
"TSPAN8",1,1,0,0,0,0
"ZFC3H1",53,44,34,24,16,17
"ZFC3H1",4,6,3,5,6,1
"TMEM19",102,59,91,47,41,31
"RAB21",9,16,15,20,18,20
"TBC1D15",1,4,3,4,6,0
"TPH2",1,0,0,0,1,0
"TPH2",0,1,1,3,1,0
"ATXN7L3B",295,252,277,178,195,172
"KCNC2",1,0,1,2,0,0
"KCNC2",1,0,1,0,2,3
"WNK1",60,57,44,46,44,55
"PHLDA1",1,1,4,0,6,5
"PHLDA1",2,1,2,1,2,0
"PHLDA1",1,2,0,1,2,3
"PHLDA1",0,1,3,1,4,2
"PHLDA1",2,0,0,0,0,0
"PHLDA1",61,58,52,39,33,34
"NAP1L1",70,77,74,52,74,78
"BBS10",33,13,24,21,21,14
"OSBPL8",33,28,24,27,25,36
"ZDHHC17",11,11,14,4,14,6
"CSRP2",30,26,27,23,43,23
"E2F7",4,7,5,2,5,8
"E2F7",1,0,0,0,0,3
"NAV3",16,10,14,3,6,8
"MIR1252",18,17,17,16,33,20
"PAWR",28,24,26,20,17,14
"PAWR",16,17,15,8,19,17
"PPP1R12A-AS1",24,16,12,16,17,18
"MYF6",1,0,0,0,0,2
"MYF6",0,2,0,1,0,0
"NECAP1",4,3,4,5,6,6
"MIR618",15,18,13,17,22,27
"LIN7A",18,18,13,15,15,20
"ACSS3",74,52,59,96,98,85
"CCDC59",23,21,25,14,13,17
"ALX1",24,20,23,6,5,3
"RASSF9",1,0,0,0,0,0
"RASSF9",45,46,39,20,23,23
"LINC02258",0,1,0,1,0,0
"LINC02258",0,0,0,0,0,0
"MKRN9P",0,0,0,0,3,0
"DUSP6",1,3,2,1,1,0
"DUSP6",1,1,2,0,3,1
"KLRG1",3,1,5,1,0,0
"POC1B",42,43,55,33,39,19
"ATP2B1",10,9,17,9,10,7
"ATP2B1",6,5,10,6,6,5
"LINC00612",4,5,2,7,4,4
"A2M",0,1,0,0,0,0
"LINC01619",0,0,0,1,1,0
"LINC01619",4,1,1,0,1,0
"LINC01619",3,2,3,1,1,1
"LINC02397",0,0,1,1,2,1
"LINC02397",0,1,2,0,0,0
"EEA1",0,0,1,1,2,0
"EEA1",1,0,0,1,2,1
"EEA1",1,1,1,0,0,1
"EEA1",3,2,1,0,0,1
"LINC02412",4,3,5,9,4,4
"LINC02412",6,3,0,1,1,0
"LINC02412",1,0,0,1,0,0
"UBE2N",18,12,13,18,23,8
"MRPL42",7,6,5,3,2,2
"SOCS2",5,3,3,2,3,1
"CRADD",10,5,10,9,9,9
"PLXNC1",11,20,11,10,14,10
"PLXNC1",3,12,14,18,11,5
"PLXNC1",7,7,5,2,7,5
"PLXNC1",9,7,5,5,3,4
"RAD52",17,9,18,19,11,18
"NR2C1",58,97,74,47,54,58
"FGD6",3,3,3,10,1,3
"VEZT",3,3,1,2,1,5
"MIR3685",3,3,5,5,3,1
"METAP2",2,0,2,3,6,2
"METAP2",135,137,104,140,202,177
"USP44",4,3,6,4,6,3
"NTN4",19,19,23,7,8,7
"LINC02410",0,0,0,1,0,0
"SNRPF",72,98,71,70,75,77
"AMDHD1",2,4,6,2,6,4
"AMDHD1",40,58,49,81,87,73
"HAL",20,32,25,50,53,48
"HAL",7,10,2,19,8,11
"CDK17",46,30,46,27,36,28
"MIR1251",2,0,1,2,0,1
"MIR135A2",0,0,1,0,2,1
"LINC02453",0,0,2,1,1,3
"LINC02453",2,4,3,4,0,3
"TMPO",299,211,264,193,249,210
"SLC25A3",92,76,90,112,99,108
"APAF1",42,41,41,19,16,21
"ERC1",8,5,7,2,1,3
"ANKS1B",4,2,3,3,5,4
"PCCA",45,36,25,18,12,12
"PCCA",5,9,7,3,4,6
"PCCA-AS1",6,5,3,1,1,2
"PCCA-AS1",5,4,5,1,1,1
"GGACT",12,9,8,2,3,2
"GGACT",3,0,0,0,1,0
"TMTC4",17,18,15,13,10,3
"NALCN-AS1",0,0,1,0,2,0
"FGF14",2,0,0,0,1,1
"FGF14",0,0,0,1,0,0
"TPP2",44,38,41,25,24,25
"TEX30",25,23,29,16,21,21
"ERCC5",12,13,18,6,2,4
"ERCC5",33,35,40,10,15,14
"LINC01309",0,0,0,0,0,0
"LINC01309",4,2,3,1,1,0
"LINC01309",1,1,3,0,1,0
"LINC01309",0,0,0,0,0,0
"DAOA-AS1",0,0,0,0,0,0
"LINC00343",0,0,0,0,0,0
"EFNB2",2,0,1,0,0,0
"ARGLU1",418,402,353,150,142,147
"LIG4",0,0,1,0,0,0
"ABHD13",67,54,64,36,45,27
"TNFSF13B",0,0,3,3,2,1
"MYO16-AS1",1,7,9,4,0,0
"MYO16-AS1",0,1,0,0,0,1
"MYO16-AS1",0,0,1,1,0,0
"MYO16-AS1",0,0,1,0,0,0
"LINC00399",1,0,0,0,0,0
"LINC00399",1,0,0,0,0,0
"LINC00399",0,0,0,0,0,0
"LINC00676",0,1,1,0,0,0
"LINC00676",1,3,0,4,0,0
"IRS2",6,1,5,2,2,2
"IRS2",1,2,5,1,0,1
"IRS2",2,0,0,0,0,0
"IRS2",0,3,1,0,0,2
"LOC105370361",0,0,1,0,3,1
"LOC105370361",0,1,0,0,0,0
"LOC105370361",0,1,0,0,0,0
"NAXD",33,31,29,13,15,6
"CARS2",2,3,3,0,1,0
"ANKRD10",18,18,11,11,5,9
"ANKRD10",2,1,0,0,1,1
"ARHGEF7",3,3,3,0,3,1
"TUBGCP3",50,28,34,17,8,12
"ATP11A",14,15,11,2,8,7
"ATP11A-AS1",3,7,2,0,6,3
"ATP11A-AS1",6,5,7,5,0,5
"MCF2L-AS1",2,5,7,4,2,1
"MCF2L-AS1",5,9,3,1,2,1
"MCF2L",21,18,13,9,9,14
"F7",24,27,21,6,14,8
"F10",67,62,42,15,19,22
"F10-AS1",10,13,12,10,8,6
"PROZ",31,42,35,20,27,27
"PROZ",22,23,15,8,6,2
"CUL4A",44,44,33,11,23,22
"LAMP1",116,60,86,19,47,30
"GRTP1",104,111,126,51,65,40
"ADPRHL1",15,8,14,6,9,8
"TFDP1",15,14,12,10,13,10
"RASA3",2,2,1,0,0,0
"RASA3",4,7,0,0,0,2
"CDC16",32,21,21,11,13,9
"UPF3A",13,12,10,4,4,2
"CHAMP1",11,4,6,3,6,3
"FAM230C",0,0,0,0,0,0
"FAM230C",0,0,0,0,0,0
"LINC00350",1,5,3,3,3,2
"PSPC1",224,190,170,138,161,150
"ZMYM5",9,10,4,3,5,6
"ZMYM2",5,2,6,1,2,3
"LINC01072",0,2,1,3,0,0
"EEF1AKMT1",4,10,3,7,7,3
"XPO4",14,25,6,11,10,7
"LATS2",21,17,15,11,17,10
"MRPL57",34,24,22,33,15,26
"ZDHHC20",62,50,51,42,52,48
"TNFRSF19",26,26,34,2,6,5
"SPATA13",79,67,80,21,23,22
"MIR2276",23,15,21,15,9,11
"PARP4",5,2,3,2,3,3
"NUP58",72,51,64,52,61,43
"RNF6",41,27,44,34,33,29
"CDK8",2,5,4,2,4,5
"USP12-AS1",0,0,0,1,3,1
"USP12-AS1",0,0,0,0,4,1
"USP12-AS1",1,1,0,0,3,1
"RPL21",38,34,35,44,40,49
"GTF3A",2,1,1,4,3,3
"MTIF3",8,6,6,9,13,9
"POLR1D",10,7,8,7,5,5
"LINC00543",1,0,0,1,0,1
"PAN3",13,8,9,5,7,7
"LINC00572",0,0,0,0,1,1
"HMGB1",18,12,16,6,8,13
"HMGB1",1,0,0,0,3,0
"HSPH1",4,2,5,1,0,1
"B3GLCT",2,2,3,1,1,0
"FRY-AS1",59,38,57,47,36,23
"FRY",15,14,7,10,9,13
"FRY",32,18,25,19,16,18
"FRY",12,8,6,4,6,13
"ZAR1L",16,10,14,11,13,14
"ZAR1L",4,8,2,3,6,1
"N4BP2L1",2,6,5,3,2,0
"N4BP2L2",57,66,59,40,44,44
"N4BP2L2",1,4,0,2,0,2
"PDS5B",2,3,4,5,4,2
"STARD13-AS",31,23,24,9,12,11
"STARD13",44,30,35,15,19,11
"STARD13",4,2,4,2,1,3
"STARD13",5,2,4,7,13,6
"STARD13",2,1,2,5,6,2
"STARD13",7,6,7,11,13,4
"RFC3",76,51,52,48,68,49
"MAB21L1",0,0,0,0,0,1
"SPART",27,25,24,8,16,10
"ALG5",20,18,23,20,21,15
"SUPT20H",22,17,13,12,8,7
"UFM1",2,9,2,1,4,2
"NHLRC3",13,15,9,19,12,7
"LINC00598",3,4,1,0,0,1
"LINC00598",3,3,1,7,0,3
"LINC00598",4,4,2,4,0,1
"LINC00598",8,4,13,2,1,2
"LINC00598",4,5,5,5,5,6
"ELF1",38,51,34,32,16,24
"ELF1",34,30,35,19,12,18
"ELF1",132,129,102,71,58,58
"NAA16",37,27,32,20,21,21
"MIR5006",2,7,0,1,5,6
"VWA8-AS1",11,6,12,11,6,10
"DGKH",9,7,7,7,8,10
"TNFSF11",2,0,2,1,2,0
"FNDC3A",0,0,0,0,0,0
"FNDC3A",11,10,9,7,4,7
"DLEU2",12,10,13,5,7,5
"TDRD3",4,8,8,6,9,4
"LINC00355",2,0,0,0,0,2
"KLF5",0,2,0,0,0,0
"KLF12",0,1,0,0,0,0
"FBXL3",37,44,36,33,44,23
"SLAIN1",15,18,28,19,17,22
"OBI1",10,7,8,5,7,9
"RBM26",52,57,43,35,30,25
"SPRY2",3,4,3,1,0,2
"LINC01040",1,0,0,2,3,0
"LINC00379",1,1,3,1,2,1
"LINC00379",7,13,11,8,8,9
"LINC00379",17,14,6,11,9,13
"MIR17HG",30,33,28,13,23,12
"MIR92A1",232,287,261,180,158,136
"MIR92A1",116,113,117,70,51,84
"MIR92A1",11,18,18,12,9,5
"MIR92A1",11,17,21,11,7,15
"GPC5",4,4,6,1,1,7
"GPC5",21,10,15,8,3,12
"GPC5",6,6,6,1,0,1
"GPC5-AS2",4,1,3,1,0,1
"MIR548AS",4,5,3,2,1,1
"GPC5-AS1",1,0,1,0,0,0
"GPC5-AS1",1,0,0,0,0,1
"GPC6",8,16,6,12,7,9
"GPC6",90,98,91,78,53,62
"GPC6",97,124,107,79,49,71
"GPC6",114,84,105,72,52,66
"GPC6-AS2",29,32,36,21,20,18
"GPC6-AS2",25,19,27,16,8,14
