"Gene.Name","EV-R1","EV-R2","EV-R3","KO-R1","KO-R2","KO-R3"
"ANXA9",90,69,67,67,56,57
"MINDY1",29,25,23,17,19,17
"MINDY1",1,4,1,4,5,3
"PRUNE1",2,6,8,5,2,6
"C1orf56",29,20,20,9,11,8
"CDC42SE1",95,86,85,60,59,76
"GABPB2",11,14,11,18,11,20
"SCNM1",51,38,33,33,22,31
"ATAD3A",7,8,11,6,9,4
"VPS72",181,164,115,108,122,86
"PIP5K1A",6,16,11,8,12,11
"PSMD4",44,47,38,29,28,30
"ZNF687-AS1",8,11,7,7,8,6
"PI4KB",28,26,15,30,28,16
"RFX5",13,9,10,6,8,6
"PSMB4",779,870,767,631,785,717
"POGZ",11,8,6,4,6,10
"CGN",9,3,5,8,8,4
"MIR554",6,12,6,15,5,8
"SNX27",7,2,5,2,8,3
"CELF3",4,0,4,6,1,0
"OAZ3",191,157,171,130,144,139
"THEM4",11,3,3,8,5,11
"S100A10",1,0,0,0,0,0
"C1orf195",5,4,5,2,2,0
"S100A2",1,2,5,1,6,2
"S100A16",76,66,62,33,38,30
"CHTOP",112,93,89,63,70,68
"SNAPIN",154,166,139,113,133,116
"ILF2",28,24,25,20,26,16
"GATAD2B",0,0,0,0,0,0
"DENND4B",13,8,6,4,7,4
"CRTC2",29,20,17,17,15,21
"CRTC2",4,2,5,5,7,3
"SLC39A1",14,5,14,5,4,5
"SLC39A1",21,19,25,5,8,5
"JTB",571,382,465,364,474,366
"RPS27",124,80,80,76,89,81
"TPM3",38,33,22,32,35,20
"C1orf43",507,437,427,425,515,473
"UBAP2L",24,13,20,14,15,11
"HAX1",5,4,4,1,1,3
"ATP8B2",98,91,73,57,48,49
"IL6R",9,7,7,5,6,6
"IL6R-AS1",2,2,1,2,0,2
"UBE2Q1",1,0,0,0,1,0
"ADAR",113,51,84,87,82,58
"ADAR",16,11,11,14,15,10
"PMVK",35,29,27,17,21,18
"PYGO2",54,37,38,16,32,38
"SHC1",42,49,21,33,34,25
"FLAD1",5,9,13,4,11,10
"ZBTB7B",155,153,118,120,110,111
"DCST1-AS1",5,9,9,6,9,4
"EFNA1",0,0,1,0,0,0
"EFNA1",5,5,5,1,5,3
"SLC50A1",18,35,33,27,33,32
"DPM3",5,1,0,0,0,1
"KRTCAP2",16,20,17,17,20,15
"MTX1",18,14,15,6,7,4
"GBA",22,28,23,35,27,25
"FAM189B",34,36,25,19,12,14
"SCAMP3",63,56,47,68,63,62
"CLK2",0,0,0,1,1,0
"FDPS",70,74,47,52,67,52
"RUSC1",12,9,10,7,7,6
"ASH1L",13,14,9,11,15,12
"YY1AP1",52,36,28,51,42,44
"AGMAT",45,14,32,26,41,23
"GON4L",4,1,7,5,7,2
"GON4L",3,7,2,2,2,3
"RIT1",0,1,1,1,0,6
"RIT1",39,36,31,28,11,13
"KHDC4",9,9,7,10,12,8
"RXFP4",2,1,1,1,2,1
"ARHGEF2",20,12,9,6,5,11
"SSR2",7,2,3,7,9,3
"LAMTOR2",24,26,16,22,23,17
"LMNA",11,14,2,6,1,3
"LMNA",28,17,27,5,8,5
"LMNA",15,16,22,5,8,8
"LMNA",858,632,644,401,453,375
"LMNA",8,13,11,7,4,11
"LMNA",11,5,8,4,4,7
"DDI2",28,13,22,27,20,30
"SLC25A44",1,2,0,0,4,0
"SLC25A44",12,5,13,7,10,8
"PMF1-BGLAP",296,283,260,182,197,168
"SMG5",95,85,105,72,68,62
"SMG5",44,36,36,28,25,29
"CCT3",8,11,11,11,15,12
"C1orf61",3,1,4,1,2,5
"MEF2D",9,3,10,15,6,3
"MEF2D",2,7,12,5,10,2
"MEF2D",0,2,1,0,0,0
"NAXE",158,118,143,105,135,113
"GPATCH4",9,8,8,9,8,13
"NES",65,55,50,46,56,41
"ISG20L2",45,41,46,26,36,45
"MRPL24",10,7,4,8,4,6
